"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Peña J.A.L.; Ortega C.M.V.","Peña, Jorge Andrés Labra (57881170000); Ortega, Carlos Mario Vanegas (57226671160)","57881170000; 57226671160","Development of Geometric Thought in High School students, when they learn the concept of homothecy; [DESARROLLO DEL RAZONAMIENTO GEOMÉTRICO DE ESTUDIANTES DE ENSEÑANZA MEDIA CUANDO ABORDAN EL CONCEPTO DE HOMOTECIA]","2022","Revista Latinoamericana de Investigacion en Matematica Educativa","25","1","","93","120","27","0","10.12802/relime.22.2514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137597517&doi=10.12802%2frelime.22.2514&partnerID=40&md5=e379870af05b539023b4393d5d4169ad","Universidad de Santiago de Chile, Chile","Peña J.A.L., Universidad de Santiago de Chile, Chile; Ortega C.M.V., Universidad de Santiago de Chile, Chile","The aim of this st udy is to characterize the development of levels of geometric thought in twelfth-grade chilean students, when they learn the concept of homothecy through a didactic sequence based on Van Hiele model. A qualitative methodology with a non-experiment al design was used in this st udy for describing how the concept of homothecy transforms, and thus the geometric thought. A pretest-posttest design was used to evaluate the acquisition of the Van Hiele levels to strengthen the analysis of the qualitative data. The main results show a complete acquisition of Level 0 for most students. In addition, the proposed activities allowed the development of Level 0, and enabled the development of the first levels of acquisition of Level 1. This achievement is enhanced thanks to the manipulative and virt ual resources used, the collaborative work among students and the sequencing of activities worked. © 2022, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Geometric thought; Teaching of geometry; Van Hiele model","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137597517"
"Guerrero O.","Guerrero, Oscar (57513539200)","57513539200","Knowledge construction on the teaching of mathematics in students for mathematics teachers through videos; [Construcción de conocimiento sobre la enseñanza de la matemática en estudiantes para profesores de matemática a través de vídeos]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","1","","61","82","21","2","10.12802/RELIME.21.2413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105229396&doi=10.12802%2fRELIME.21.2413&partnerID=40&md5=d4ea2bab5a119df410ef68e3de0c6b81","Universidad Arturo Prat (UNAP), Iquique, Chile","Guerrero O., Universidad Arturo Prat (UNAP), Iquique, Chile","This research studies how the integration of practice records (videos) through environments that favor interaction during the analysis of those practice records supports the construction of knowledge about the teaching of mathematics. We analyzed the responses of 23 students for secondary school mathematics teacher to two questions related to mathematical competence presented in two virtual debates. The results indicate that the participations to the debates in the form of agree, agree and broad, disagree or disagree or broad favored the process of instrumentalization of the conceptual tools coming from the didactics of mathematics. These results emphasize how the use of Videos as a learning resource favors the construction of knowledge in the processes of meaning negotiation by students for mathematics teacher. © 2021, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Building Knowledge; Initial Training of Mathematics Teachers; Learning to Teach Mathematics; Videos","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85105229396"
"Obreque K.S.; Andalón J.L.","Obreque, Karla Sepúlveda (57223274588); Andalón, Javier Lezama (57223295610)","57223274588; 57223295610","TEACHERS´ EPISTEMOLOGY OF SCHOOL MATHEMATICAL KNOWLEDGE: A CASE STUDY; [EPISTEMOLOGÍA DE LOS PROFESORES SOBRE EL CONOCIMIENTO MATEMÁTICO ESCOLAR: UN ESTUDIO DE CASO]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","2","","177","206","29","1","10.12802/RELIME.21.2423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135755145&doi=10.12802%2fRELIME.21.2423&partnerID=40&md5=a3d246966e96b1023eafe5bba781cc87","Universidad Católica de Temuco, Chile; CICATA, Instituto Politécnico Nacional, Mexico","Obreque K.S., Universidad Católica de Temuco, Chile; Andalón J.L., CICATA, Instituto Politécnico Nacional, Mexico","It was sought to know the epistemology of the teachers on school mathematical knowledge. The study was framed in the Socioepistemological Theory, understanding mathematics as a human activity from epistemic relativism. This qualitative study used microscopic analysis to form categories and then dialect ically analyzed those categories. The i nvest igat ive interest arose when observing the inf luence of Eurocentrism, the mono epistemism of the school and the absence of some knowledge i n t eachi ng. The epist emology of t he t eacher inf luences his teaching and affects the school model as a tool for change or social cont i nuit y. The result s showed t hat teachers mostly understand mathematics as a priori knowledge, assigning to human action the role of discovering, interpreting or formalizing it. © 2021, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Mathematical school knowledge; Socioepistemology; Teacher epistemology","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85135755145"
"Laguna M.; Sevilla D.B.","Laguna, María (57220986968); Sevilla, David Block (56366891000)","57220986968; 56366891000","Reconstruction of didactical situations of mathematics in classroom. A study in preschool; [Reconstrucción de situaciones didácticas de matemáticas en el aula. Un estudio en preescolar]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","3","","331","356","25","1","10.12802/relime.20.2333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097982465&doi=10.12802%2frelime.20.2333&partnerID=40&md5=2bfb0948ff240904a23aa7491d3070d0","Departamento de Investigaciones Educativas, Centro de Investigación y Estudios Avanzados del Instituto Politécnico Nacional, Mexico","Laguna M., Departamento de Investigaciones Educativas, Centro de Investigación y Estudios Avanzados del Instituto Politécnico Nacional, Mexico; Sevilla D.B., Departamento de Investigaciones Educativas, Centro de Investigación y Estudios Avanzados del Instituto Politécnico Nacional, Mexico","The article focuses on the transformations that teachers imprint to didactic situations of mathematics associated with a socio-constructive didactic approach. The case of two educators working with the topic of Data Analysis in preschool is studied. Methodologically, we consider this study a Didactic Development Engineering (Perrin Glorian, 2011). The analysis was carried out from a double theoretical perspective: the didactic situations are characterized and analyzed from the Theory of Didactic Situations (Brousseau, 1998), while, for the analysis of teaching practices, the double didactic/ergonomic approach was mainly considered (Robert y Rogalski, 2002) and the ethnographic perspective (Rockwell & Mercado, 2003). Although the transformations identified are different from each other, in both cases, the essentials of the didactic purposes were preserved. This is expressive of the need and feasibility of appropriation processes. The main contribution of the text is the identification of factors that underlie these transformations, of the needs to which they respond and of the tensions they create in decision-making in the classroom. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Data Analysis; Mathematics Education; Preschool Education; Teacher Education; Teaching","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097982465"
"Sánchez A.B.; Fuentes S.R.; Ballesteros S.J.","Sánchez, Alexander Betancur (57462676700); Fuentes, Solange Roa (36061494600); Ballesteros, Silvia Juliana (57463480800)","57462676700; 36061494600; 57463480800","A PRELIMINARY GENETIC DECOMPOSITION OF THE CONCEPT OF EIGENVALUE AND EIGENVECTOR: THE ANALYSIS OF TEXTBOOKS AS A SUBSTRATE IN THE CONSTRUCTION OF COGNITIVE MODELS; [UNA DESCOMPOSICIÓN GENÉTICA PRELIMINAR DEL CONCEPTO DE EIGENVALOR Y EIGENVECTOR: EL ANÁLISIS DE LIBROS DE TEXTO COMO SUSTRATO EN LA CONSTRUCCIÓN DE MODELOS COGNITIVOS]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","3","","245","276","31","1","10.12802/RELIME.21.2431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125084148&doi=10.12802%2fRELIME.21.2431&partnerID=40&md5=c3d186593a198c19ffc35ace50c7a743","Universidad Industrial de Santander, Colombia","Sánchez A.B., Universidad Industrial de Santander, Colombia; Fuentes S.R., Universidad Industrial de Santander, Colombia; Ballesteros S.J., Universidad Industrial de Santander, Colombia","In APOS theory (Action, Process, Object, Scheme), the design of a genetic decomposition is the result of Theoretical Analysis (first component of the theory’s research cycle) where textbook analysis is one of the elements to be considered. However, as of the date of this report, there are no publications on how to perform textbook analysis and the process behind the construction of a genetic decomposition. In this writing, the criteria proposed by Campos (2017) are used to analyze three linear algebra textbooks, specifically in relation to the concept of eigenvalue and eigenvector along with a methodology that accounts for the design of a preliminary genetic decomposition for the concept of eigenvalue and eigenvector on linear operators considering: the input of textbook analysis, existing research reports and the experience of researchers as teachers and students. © 2021, Comite Latinoamericano de Matematica Educativa. All rights reserved.","APOS Theory; Eigenvalues and Eigenvectors; Genetic decomposition; Textbook","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85125084148"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","Notes about the publication and insertion of postgraduates in educational mathematics; [Notas sobre la publicación e inserción de posgraduados en matemática educativa]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","1","","5","8","3","1","10.12802/RELIME.21.2410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105235426&doi=10.12802%2fRELIME.21.2410&partnerID=40&md5=88caf94fdbeaa6f1c249d7beed29809f","Cinvestav-IPN, Mexico","Cantoral R., Cinvestav-IPN, Mexico","[No abstract available]","","","Spanish","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105235426"
"Ramírez Uclés R.; Flores Martínez P.; Ramírez Uclés I.","Ramírez Uclés, Rafael (57201728689); Flores Martínez, Pablo (57189574427); Ramírez Uclés, Isabel (12144021100)","57201728689; 57189574427; 12144021100","Analysis of mistakes in geometric tasks of visual argumentation by students with mathematical talent; [Análisis de los errores en tareas geométricas de argumentación visual por estudiantes con talento matemático]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","1","","29","56","27","6","10.12802/relime.18.2112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061856432&doi=10.12802%2frelime.18.2112&partnerID=40&md5=8a1e3bc0795d44db3d02ce238f0a32a1","Departamento de Didáctica de la Matemática, Universidad de Granada, Spain; Universidad Nacional de Educación a Dist ancia (UNED), Spain","Ramírez Uclés R., Departamento de Didáctica de la Matemática, Universidad de Granada, Spain; Flores Martínez P., Departamento de Didáctica de la Matemática, Universidad de Granada, Spain; Ramírez Uclés I., Universidad Nacional de Educación a Dist ancia (UNED), Spain","In this work, we analyze t he mist akes made by a group of twenty-five students, aged bet ween 13 and 16 years, when involved in the resolution of geometrical tasks while participating in a project for stimulation of the mathematical talent, during three curricular enrichment sessions focused on reasoning techniques. Specific visual argumentation mistakes are identif ied (namely making false analogies between plane and space, not discussing all the possible cases, and reasoning from concrete limited examples), as well as those derived from the incorrect use of reasoning elements, contents, and mathematical procedures. From the study of correlations, it is apparent that most of the mist akes are i ndependent, both amongst each other and with respect to the scores obtained in three visual and intellect ual capabilit y tests. The ANOVA results from repeated measurements show that the frequency of appearance of specif ic visual argumentation mistakes decreases throughout the three sessions. © 2018, Comite Latinoamericano de Matematica Educativa. All rights reserved.","DAT test; Mathematical talent; Mistakes; PMA test; Raven test; Visual argumentation","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061856432"
"Durán U.E.; Segura F.T.","Durán, Uriel Escobar (57223193575); Segura, Felipe Tirado (55811336700)","57223193575; 55811336700","Relational thinking in the schooling of order of operations and early algebra in elementary school; [Pensamiento relacional en la escolarización de la jerarquía de operaciones y álgebra temprana en primaria]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","1","","9","34","25","0","10.12802/RELIME.21.2411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105197617&doi=10.12802%2fRELIME.21.2411&partnerID=40&md5=1a51c7e98ba9a07b94af0c8d9a254ff9","Universidad Nacional Autónoma de México, Mexico","Durán U.E., Universidad Nacional Autónoma de México, Mexico; Segura F.T., Universidad Nacional Autónoma de México, Mexico","The general objective of this study was to promote relational thinking in the analysis of numerical expressions, using the order of operations, in third-grade primary school students. A psychoeducational sequence was designed based on the representation of numerical properties and expressions of equality by equivalence, based on phenomenal activities (didactical phenomenology) and the application of the hierarchy of operations. Thirty students were assessed using multiple performance indicators in the procedural and conceptual fields. 71.43% of the students reached a very high or high level of achievement in tasks of application of the order of operations. The results are discussed in terms of the relationship between relational thinking and phenomenal activities with the level of achievement of the order of operations. © 2021, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Didactical phenomenology; Early algebra; Order of operations; Relational thinking","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105197617"
"Vergara A.; Estrella S.; Vidal-Szabó P.","Vergara, Andrea (57216967786); Estrella, Soledad (56195162300); Vidal-Szabó, Pedro (57201730068)","57216967786; 56195162300; 57201730068","Relationships between proportional thinking and probabilistic thinking in decision-making situations; [Relaciones entre pensamiento proporcional y pensamiento probabilístico en situaciones de toma de decisiones]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","1","","7","36","29","4","10.12802/relime.20.2311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085554360&doi=10.12802%2frelime.20.2311&partnerID=40&md5=f850a022844cbb333c09ebf99f951d02","Pontificia Universidad Católica de Valparaíso, Chile","Vergara A., Pontificia Universidad Católica de Valparaíso, Chile; Estrella S., Pontificia Universidad Católica de Valparaíso, Chile; Vidal-Szabó P., Pontificia Universidad Católica de Valparaíso, Chile","Making decisions is a daily act in the human being, to greater uncer t aint y more diff icult it is to decide. From a lear ning situation, consisting of deciding between two random games with dices, the relationship between proportional thinking and probabilistic thinking is studied, considering three states for proportional thinking and three types of probabilistic thinking. Under the focus of an instrumental case study, the decisions and arguments of Chilean high school students are analyzed. The results indicate that there are both beneficial and harmful relationships between proportional and probabilistic thinking, and that the difficulties in determining probabilities are not necessarily due to the absence of the use of proportions. A teaching that considers argumentation and learning of the sample space is recommended to channel the use of intuitive resources. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Decision making; Heuristics; Probabilistic thinking; Proportional thinking; Uncertainty","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085554360"
"Ramírez L.E.; Gómez A.V.; Zúñiga D.V.","Ramírez, Lianggi Espinoza (57210342686); Gómez, Andrea Vergara (57216967786); Zúñiga, David Valenzuela (57210337996)","57210342686; 57216967786; 57210337996","Geometry in everyday practice: the measurement of inaccessible distances in a text of the XVI century; [Geometría en la práctica cotidiana: La medición de distancias inaccesibles en una obra del siglo XVI]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","3","","247","274","27","6","10.12802/relime.18.2131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070356707&doi=10.12802%2frelime.18.2131&partnerID=40&md5=6f9617421c83aa2a297a61f3edd8b8bf","Universidad de Valparaíso, Chile; Pontificia Universidad Católica de Valparaíso, Chile","Ramírez L.E., Universidad de Valparaíso, Chile; Gómez A.V., Pontificia Universidad Católica de Valparaíso, Chile; Zúñiga D.V., Pontificia Universidad Católica de Valparaíso, Chile","The study of mathematical knowledge in different contexts has acquired relevance due to the current interest in students’ ability to use mathematics in solving real life problems. Thus, the purpose of this research is to characterize the knowledge in use in the measurement of inaccessible distances in Johann Stöffler's Elucidatio Fabricoe Ususque Astrolabii, published in 1513. The theoretical model used considers the study of the constitution of knowledge through the analysis of its genesis, development and transversality. The results reveal in the analyzed work an episteme of the measurement of inaccessible distances that includes both the search for a suitable reason to carry out the measurement and the dynamic analysis of the behavior of the shadows or the visual rays in the estimation of inclinations. This episteme is critical for the understanding of this mathematical knowledge in problem solving. © 2019 Revista Latinoamericana de Investigacion en Matematica Educativa. All rights reserved.","Astrolabe; Gnomon; History of mathematical knowledge; Mathematical ratio; Proportionality; Use of knowledge","","Spanish","Article","Final","","Scopus","2-s2.0-85070356707"
"Alvarado H.; Estrella S.; Retamal L.; Maritza M.G.","Alvarado, Hugo (55978648200); Estrella, Soledad (56195162300); Retamal, Lidia (56341218100); Maritza, Maritza Galindo (57203824455)","55978648200; 56195162300; 56341218100; 57203824455","Probabilistic intuitions in engineering students: Implications for the teaching of probability; [Intuiciones probabilísticas en estudiantes de ingeniería: Implicaciones para la enseñanza de la probabilidad]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","2","","131","156","25","10","10.12802/relime.18.2121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053075057&doi=10.12802%2frelime.18.2121&partnerID=40&md5=0bb89ce06f4df00d3cc9b2bba4da895a","Universidad Católica de la Santísima Concepción, Chile; Pontificia Universidad Católica de Valparaíso, Chile; Universidad San Sebastián, Chile","Alvarado H., Universidad Católica de la Santísima Concepción, Chile; Estrella S., Pontificia Universidad Católica de Valparaíso, Chile; Retamal L., Universidad Católica de la Santísima Concepción, Chile; Maritza M.G., Universidad San Sebastián, Chile","The intuitions and heuristics on the probability are evaluated in 257 engineering students through a questionnaire of eight closed items, and they analyze the arguments of 148 of them in an open item. The results indicate a high variation in the qualitative assignment of the probabilistic intuition in situations of uncertainty and the existence of correct and incorrect intuitions of the students. We propose a teaching of probability that relates theoretical and practical understanding of meanings of probability, from the intuitive to the axiomatic, through the qualitative estimation of probabilistic intuitions as a degree of personal belief, and the explicit confrontation of diverse heuristics with formal knowledge of probability. © 2018, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Education in engineering; Heuristics; Intuition; Meanings of probability; Uncertainty","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85053075057"
"Martínez Zarzuelo A.; Rodríguez Mantilla J.M.; Roanes Lozano E.; Fernández Díaz M.J.","Martínez Zarzuelo, Angélica (37023347100); Rodríguez Mantilla, Jesús Miguel (55213902000); Roanes Lozano, Eugenio (6603788741); Fernández Díaz, María José (35101890800)","37023347100; 55213902000; 6603788741; 35101890800","Effect of scratch in the learning of geometric concepts of future primary school teachers; [Efecto de scratch en el aprendizaje de conceptos geométricos de futuros docentes de primaria]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","3","","357","386","29","3","10.12802/relime.20.2334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098072368&doi=10.12802%2frelime.20.2334&partnerID=40&md5=f5d6489f4f1014badcfd3c34615b5b39","Universidad Complutense de Madrid, Spain","Martínez Zarzuelo A., Universidad Complutense de Madrid, Spain; Rodríguez Mantilla J.M., Universidad Complutense de Madrid, Spain; Roanes Lozano E., Universidad Complutense de Madrid, Spain; Fernández Díaz M.J., Universidad Complutense de Madrid, Spain","The aim is to evaluate the effect of the Turtle Geometry of the programming language Scratch 2 in the learning of geometric concepts of future Primary School teachers. An experimental study has been carried out at the School of Education of the Universidad Complutense de Madrid. Descriptive, differential and correlational analyses have been carried out on the academic performance and the student satisfaction with a methodology with Scratch 2. In addition, a cluster analysis for the identification of student typologies has also been carried out. The results show that students who have followed this methodology have significantly higher levels in geometry. Three typologies of students have been identified relating their mathematical performance and their attitude towards the methodology. Therefore, this methodology favors the development of geometric skills of future Primary School teachers. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Geometric concepts; Programming language; Scratch; Teaching methodology; Turtle Geometry","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098072368"
"Ferreira M.C.N.; da Silva V.A.; Gonçalves M.M.; Ribeiro A.J.","Ferreira, Miriam Criez Nobrega (57463219000); da Silva, Valdir Alves (59347433400); Gonçalves, Marcel Messias (59347843700); Ribeiro, Alessandro Jacques (55312749100)","57463219000; 59347433400; 59347843700; 55312749100","Professional Learning Tasks in mathematics teachers’ professional development; [TAREFAS DE APRENDIZAGEM PROFISSIONAL NA FORMAÇÃO DE PROFESSORES DE MATEMÁTICA]","2023","Revista Latinoamericana de Investigacion en Matematica Educativa","26","2","","176","200","24","0","10.12802/relime.23.2622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205216353&doi=10.12802%2frelime.23.2622&partnerID=40&md5=9cadf24e72c8ac45e0f1272a6de624e7","Universidade de Lisboa, Portugal; Universidade Federal do ABC, Brazil","Ferreira M.C.N., Universidade de Lisboa, Portugal; da Silva V.A., Universidade Federal do ABC, Brazil; Gonçalves M.M., Universidade Federal do ABC, Brazil; Ribeiro A.J., Universidade Federal do ABC, Brazil","The article presents the results of a study that aimed to understand how the design and implementation of a Professional Learning Task contributed to the identification of mathematical and didactic knowledge of mathematics teachers as participants in a professional development. It fits into a qualitative-interpretive perspective, in which data collection came from the planning audios, its design, audios and videos of the discussions in the subgroups and the plenary of the second meeting. The results show that, from the professional learning task planned and implemented, it was possible to raise the knowledge of teachers, in addition to showing the articulation between the components of the Professional Learning Tasks. © 2023, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Mathematics teacher professional development; Professional learning of mathematics teachers; Professional learning tasks; Teaching algebra","","Portuguese","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205216353"
"Díaz-Cárdenas A.F.; Díaz-Furlong A.; Díaz-Furlong H.A.; Sankey-García M.R.; Zago-Portillo G.","Díaz-Cárdenas, Alfonso F. (35083331700); Díaz-Furlong, Alfonso (27567664000); Díaz-Furlong, Héctor Adrián (57200549600); Sankey-García, M. Rayo (57200538954); Zago-Portillo, Gemma (57213839733)","35083331700; 27567664000; 57200549600; 57200538954; 57213839733","Multiplication and division of fractions: Numerical cognition development and assessment procedures","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","3","","333","362","29","0","10.12802/relime.19.2234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078054075&doi=10.12802%2frelime.19.2234&partnerID=40&md5=f50ab16704b73cc8725f9404128a2ed8","Universidad Autónoma de Puebla, Mexico; SEP Puebla, Mexico","Díaz-Cárdenas A.F., Universidad Autónoma de Puebla, Mexico; Díaz-Furlong A., Universidad Autónoma de Puebla, Mexico; Díaz-Furlong H.A., Universidad Autónoma de Puebla, Mexico; Sankey-García M.R., SEP Puebla, Mexico; Zago-Portillo G., SEP Puebla, Mexico","The number and its basic operations can be conceptualised within a general system of relations. Children need to construct a system of numbers within which they can add, subtract, multiply and divide any rational number. Products and quotients can be defined in terms of general relational schemes. In this study, we examine whether elementary school children can construct a system of numbers such that fraction multiplication and division are based on the construction of general relational schemes. Groups of students are not homogeneous and children progress at different rates. For reliable assessment teachers need methods to examine developmental and individual differences in cognitive representations of mathematical concepts and operations. A logistic regression curve offers a visualisation of the learning process as a function of average marks. The analysis of fraction multiplication and division items shows an improvement on correct response probability, especially for students with a higher average mark. © 2019, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Educational development assessment; Fraction multiplication teaching; Logistic regression curve; Relational schemes","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85078054075"
"Pedro Huerta M.","Pedro Huerta, M. (35095330600)","35095330600","Hypothesis and conjectures in the development of stochastic thinking: Challenges for its teaching and teachers training; [Hipótesis y conjeturas en el desarrollo del pensamiento estocástico: Retos para su enseñanza y en la formación de profesores]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","1","","79","102","23","6","10.12802/relime.20.2313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085573927&doi=10.12802%2frelime.20.2313&partnerID=40&md5=c8fc6d5ce61903fce92dfeaa3fb06e0a","Universitat de València, Spain","Pedro Huerta M., Universitat de València, Spain","This paper ref lects on the impor t ance that the dialectic of hypothesis-conjectures can have, not only for the development of demonst rat ive t hi nki ng i n st udent s, but also for t he development of stochastic thinking. It argues for curricular reasons, for an approach to teaching based on problem solving, for a way of solving problems that considers simulation as a method of resolution with heuristic content and, f inally, for new proposals on mathematics that the citizen of the XXI cent ur y will require and that includes the analysis of data in contexts of uncertainty. Consequently, a proposal is presented for the training of pre-service teachers to enable them to deal with such challenges. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Conjectures; Hypothesis; Preparing teachers; Probability problem solving; Simulation; Stochastic thinking","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085573927"
"García G.S.-M.; Moreno M.M.; Tyteca P.P.; de la Vega M.L.C.","García, Gloria Sánchez-Matamoros (36198509700); Moreno, Mar Moreno (59130543000); Tyteca, Patricia Pérez (56168228700); de la Vega, M. Luz Callejo (16411074100)","36198509700; 59130543000; 56168228700; 16411074100","A learning trajectory of length and measure as a conceptual instrument used by prospective kindergarten teachers; [Trayectoria de aprendizaje de la longitud y su medida como instrumento conceptual usado por futuros]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","2","","203","228","25","7","10.12802/relime.18.2124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053083199&doi=10.12802%2frelime.18.2124&partnerID=40&md5=d2930045f0c60061ed9ed7257781f215","Universidad de Sevilla, Spain; Universidad de Alicante, Spain","García G.S.-M., Universidad de Sevilla, Spain; Moreno M.M., Universidad de Alicante, Spain; Tyteca P.P., Universidad de Alicante, Spain; de la Vega M.L.C., Universidad de Alicante, Spain","This study characterizes the use of a learning trajectory for length, as a magnitude and its measurement, as a conceptual instrument for gaining the professional competence of noticing mathematical thinking of children by the prospective kindergarten teachers. A total amount of 64 prospective kindergarten teachers enrolled on a teaching module about teaching and learning the concept of length in their training programmer. This module is based on a learning trajectory of length to be used as a conceptual instrument which let prospective kindergarten teachers describe and interpret children’s answers to an specific learning situation (first instrumental action scheme) and take appropriate learning decisions related to the interpretation inferred (second instrumental action scheme). The results exhibit there are some prospective kindergarten teachers who do not develop any schemes, some of them develop only the first scheme, and few of them develop the second instrumental action scheme. These results give evidences of the acquisition of noticing. © 2018, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Early childhood education; Learning experiment; Learning trajectories; Length and measure; Preservice teacher learning; Professional noticing","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85053083199"
"Figueiredo F.F.; Groenwald C.L.O.","Figueiredo, Fabiane Fischer (57209400261); Groenwald, Claudia Lisete Oliveira (37116895400)","57209400261; 37116895400","Design, problem posing and solving with the use of digital technologies in the initial training of mathematics teachers; [Design, (Re)formulação e resolução de problemas com o uso de tecnologias digitais na formação inicial de professores de matemática]","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","2","","147","174","27","0","10.12802/relime.20.2321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090691180&doi=10.12802%2frelime.20.2321&partnerID=40&md5=fe17559e21377bfc6a8552c0193ab831","ULBRA, Brazil","Figueiredo F.F., ULBRA, Brazil; Groenwald C.L.O., ULBRA, Brazil","This article presents the results of a qualitative investigation, in which the objective was to investigate what knowledge is produced by future mathematics teachers, in mathematical, met hodological, t echnological aspect s and about t he approach of social ly relevant t hemes, t hrough design, posi ng and resolut ion of open problems and the planni ng and implementation of pedagogical practices, in which such problems are proposed. To achieve this, three students, in a group, carried out the activities of an extension course, which allowed them to acquire experiences, which contributed to the production of teaching knowledge, related to the design of open problems and which address topics of social relevance with the use of digital technologies and about the planning and implementation of pedagogical practices, in which the posing and resolution of these problems are evidenced. © 2020, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Digital technologies; Initial teacher training; Mathematics; Open problem design; Problem posing and solving","","Portuguese","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090691180"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","23 MATHEMATICAL CHALLENGES “WIR MÜSSEN WISSEN. WIR WERDEN WISSEN”; [23 DESAFÍOS MATEMÁTICOS “DEBEMOS SABER. LO SABREMOS”]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","2","","115","120","5","0","10.12802/RELIME.21.2420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135740632&doi=10.12802%2fRELIME.21.2420&partnerID=40&md5=c38702d059c19cdd8903d7f6781ad595","Cinvestav-IPN, Mexico","Cantoral R., Cinvestav-IPN, Mexico","[No abstract available]","","","English","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85135740632"
